"*""""Operation"""""",""Flag"",""objectId"",""objectType"",""MobileRecordId"",""FunctionalGroupName"",""userGroupName"",""Role"",""Login"",""Password"",""OrganizationName"",""OrganizationNumber"",""Company"",""Last Name"",""First Name"",""Address1"",""Address2"",""City"",""State"",""ZipCode"",""Country"",""Email"",""Telephone"",""ItemType"",""latitude"",""longitude"",""Driver License Number"",""Driver License State"",""Location"",""Customer Number"",""Date of Hire"",""Date of Birth"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc1"",""123"",""WestPak"",""23"",""7 OAKS RANCH"",""Boone"",""Paula"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""1"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc2"",""123"",""WestPak"",""23"",""A&A PACKING"",""Gray"",""Camila"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""2"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc3"",""123"",""WestPak"",""23"",""A.J. STEHLY RANCH 2"",""Meadows"",""Sheila"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""3"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc4"",""123"",""WestPak"",""23"",""ACADEMIA, HERMINIO"",""Burris"",""Clint"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""4"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc5"",""123"",""WestPak"",""23"",""ACCRETIVE ALLIGATOR PEARS"",""Leblanc"",""Edith"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""5"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc6"",""123"",""WestPak"",""23"",""ACCRETIVE BIALOWKOSKI"",""Rich"",""Chris"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""6"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc7"",""123"",""WestPak"",""23"",""ACCRETIVE DAVITT"",""Ramirez"",""Lydia"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""7"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc8"",""123"",""WestPak"",""23"",""ACCRETIVE GOPHER CANYON"",""Tanner"",""Benjamin"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""8"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc9"",""123"",""WestPak"",""23"",""ACCRETIVE NELSON"",""Russell"",""James"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""9"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc10"",""123"",""WestPak"",""23"",""ACCRETIVE ZOSA"",""Walker"",""Tony"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""10"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc11"",""123"",""WestPak"",""23"",""ACKER ESTATE MGMT"",""Ryan"",""Harold"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""11"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc12"",""123"",""WestPak"",""23"",""ACKERMAN, RALPH"",""Tate"",""Lucas"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""12"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc13"",""123"",""WestPak"",""23"",""ACW FARM"",""Perkins"",""Frank"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""13"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc14"",""123"",""WestPak"",""23"",""ADAMS, MIKE"",""Avila"",""Wanda"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""14"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc15"",""123"",""WestPak"",""23"",""ADAMS, MIKE & ZEREE"",""Logan"",""Anthony"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""15"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc16"",""123"",""WestPak"",""23"",""ADAMS, TERRY"",""Cardenas"",""Jessica"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""16"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc17"",""123"",""WestPak"",""23"",""ADICOFF, ANN"",""Lester"",""Lloyd"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""17"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc18"",""123"",""WestPak"",""23"",""ADINOLFI, RICK"",""Weeks"",""Brianna"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""18"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc19"",""123"",""WestPak"",""23"",""ADLER, LINDA"",""McMahon"",""Dorothy"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""19"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc20"",""123"",""WestPak"",""23"",""AGUAJITOS RANCH"",""Casey"",""Jay"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""20"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc21"",""123"",""WestPak"",""23"",""AHUMADA, GINA"",""Farrell"",""Bruce"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""21"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc22"",""123"",""WestPak"",""23"",""AJ STEHLY RANCH"",""Chang"",""Nicholas"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""22"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc23"",""123"",""WestPak"",""23"",""AJH RANCH LLC"",""Branch"",""Nicole"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""23"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc24"",""123"",""WestPak"",""23"",""AKHONDZADEH, KORINA"",""Fitzpatrick"",""Sandra"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""24"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc25"",""123"",""WestPak"",""23"",""ALDRICH, GEORGE"",""Lowery"",""Katelyn"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""25"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc26"",""123"",""WestPak"",""23"",""ALEXANDER CAMARON"",""Keller"",""Jasmine"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""26"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc27"",""123"",""WestPak"",""23"",""ALEXANDER CARRANCHO"",""Bradshaw"",""Matthew"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""27"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc28"",""123"",""WestPak"",""23"",""ALEXANDER CARRANCHO 2"",""Burke"",""Brandon"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""28"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc29"",""123"",""WestPak"",""23"",""ALEXANDER CARRANCHO REG"",""Hyde"",""Emily"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""29"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc30"",""123"",""WestPak"",""23"",""ALEXANDER DE LUZ"",""Wilkerson"",""Austin"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""30"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc31"",""123"",""WestPak"",""23"",""ALEXANDER EL CALAMAR REG"",""McGowan"",""Bob"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""31"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc32"",""123"",""WestPak"",""23"",""ALEXANDER FUERTE RD"",""Francis"",""Carl"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""32"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc33"",""123"",""WestPak"",""23"",""ALEXANDER GARASSI"",""Harrison"",""Jennifer"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""33"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc34"",""123"",""WestPak"",""23"",""ALEXANDER TIERRA RICA"",""Cherry"",""Jan"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""34"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc35"",""123"",""WestPak"",""23"",""ALEXANDER VIENTO SECO"",""Snow"",""Benjamin"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""35"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc36"",""123"",""WestPak"",""23"",""ALEXANDER, CHRIS"",""Mosley"",""Emily"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""36"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc37"",""123"",""WestPak"",""23"",""ALEXANDER, ELLIS"",""Contreras"",""Byron"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""37"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc38"",""123"",""WestPak"",""23"",""ALKEMA, DON"",""Massey"",""Joanne"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""38"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc39"",""123"",""WestPak"",""23"",""ALLEGRO, DAN"",""Mullins"",""Dick"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""39"",""2/31995"",""4/5/2008"""
